Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,8.880000,8.970000,8.310000,8.660000,7.069046,96200
2018-01-11,8.740000,8.900000,8.480000,8.900000,7.264955,49700
2018-01-12,8.900000,9.100000,8.890000,9.030000,7.371072,42000
2018-01-16,9.250000,9.250000,8.750000,8.910000,7.273119,76100
2018-01-17,8.990000,9.080000,8.770000,8.910000,7.273119,43300
2018-01-18,8.820000,8.890000,8.750000,8.870000,7.240467,31500
2018-01-19,8.790000,8.950000,8.750000,8.930000,7.289444,18200
2018-01-22,8.820000,8.950000,8.800000,8.890000,7.256793,21700
2018-01-23,8.800000,8.890000,8.570000,8.840000,7.215978,69900
2018-01-24,8.840000,8.850000,8.630000,8.660000,7.069046,40100
2018-01-25,8.670000,8.690000,8.290000,8.570000,6.995580,52800
2018-01-26,8.440000,8.690000,8.280000,8.600000,7.020069,29900
2018-01-29,8.690000,9.030000,8.260000,8.620000,7.036395,26300
2018-01-30,8.680000,8.680000,8.330000,8.530000,6.962928,26200
2018-01-31,8.830000,8.830000,8.530000,8.560000,6.987418,17800
2018-02-01,8.510000,8.810000,8.510000,8.600000,7.020069,28600
2018-02-02,8.790000,8.790000,8.460000,8.570000,6.995580,34100
2018-02-05,8.500000,8.540000,8.000000,8.000000,6.530296,57900
2018-02-06,8.000000,8.310000,7.860000,8.160000,6.660902,53100
2018-02-07,8.190000,8.390000,8.100000,8.290000,6.767020,23700
2018-02-08,8.680000,8.680000,8.200000,8.430000,6.881299,34400
2018-02-09,8.650000,8.650000,8.100000,8.310000,6.783346,18300
2018-02-12,8.270000,8.540000,8.230000,8.240000,6.726205,23700
2018-02-13,8.250000,8.400000,8.000000,8.120000,6.628251,51500
2018-02-14,8.010000,8.290000,8.010000,8.180000,6.677228,17000
2018-02-15,8.110000,8.130000,8.000000,8.090000,6.743917,18300
2018-02-16,8.010000,8.310000,8.010000,8.300000,6.918975,14400
2018-02-20,8.200000,8.490000,8.010000,8.250000,6.877295,24200
2018-02-21,8.150000,8.400000,8.040000,8.200000,6.835615,15600
