Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,2.350000,2.370000,2.230000,2.260000,2.260000,215600
2018-01-11,2.280000,2.340000,2.270000,2.290000,2.290000,112300
2018-01-12,2.270000,2.340000,2.270000,2.300000,2.300000,127700
2018-01-16,2.260000,2.330000,2.160000,2.200000,2.200000,287100
2018-01-17,2.170000,2.250000,2.100000,2.150000,2.150000,309600
2018-01-18,2.190000,2.190000,2.070000,2.170000,2.170000,193300
2018-01-19,2.160000,2.240000,2.100000,2.210000,2.210000,182300
2018-01-22,2.210000,2.250000,2.100000,2.180000,2.180000,109700
2018-01-23,2.160000,2.230000,2.110000,2.210000,2.210000,177100
2018-01-24,2.200000,2.210000,2.140000,2.170000,2.170000,106200
2018-01-25,2.170000,2.200000,2.150000,2.170000,2.170000,145700
2018-01-26,2.160000,2.350000,2.120000,2.280000,2.280000,479700
2018-01-29,2.280000,2.290000,2.210000,2.220000,2.220000,123200
2018-01-30,2.230000,2.230000,2.100000,2.140000,2.140000,181300
2018-01-31,2.140000,2.170000,2.100000,2.110000,2.110000,192800
2018-02-01,2.430000,2.700000,2.300000,2.690000,2.690000,2252200
2018-02-02,2.640000,2.670000,2.400000,2.510000,2.510000,658800
2018-02-05,2.500000,2.570000,2.360000,2.410000,2.410000,364700
2018-02-06,2.270000,2.440000,2.250000,2.300000,2.300000,367100
2018-02-07,2.300000,2.450000,2.280000,2.300000,2.300000,226200
2018-02-08,2.270000,2.350000,2.230000,2.240000,2.240000,211600
2018-02-09,2.290000,2.340000,2.250000,2.270000,2.270000,299100
2018-02-12,2.350000,2.400000,2.250000,2.300000,2.300000,222100
2018-02-13,2.300000,4.470000,2.250000,4.300000,4.300000,13607700
2018-02-14,3.900000,4.840000,3.400000,4.350000,4.350000,11521200
2018-02-15,4.360000,4.440000,3.750000,4.040000,4.040000,4147800
2018-02-16,3.960000,4.390000,3.850000,4.040000,4.040000,3068700
2018-02-20,4.110000,4.600000,3.910000,4.470000,4.470000,3047600
2018-02-21,4.530000,4.680000,4.000000,4.190000,4.190000,2551800
2018-02-22,4.190000,4.330000,4.100000,4.180000,4.180000,821600
2018-02-23,4.190000,4.400000,4.030000,4.280000,4.280000,1125800
2018-02-26,4.500000,4.910000,4.300000,4.370000,4.370000,5250000
2018-02-27,4.410000,4.480000,3.950000,4.080000,4.080000,1648900
2018-02-28,4.050000,4.130000,3.780000,4.060000,4.060000,1346700
2018-03-01,4.020000,4.200000,4.000000,4.040000,4.040000,421700
2018-03-02,4.050000,4.270000,3.930000,4.200000,4.200000,607000
2018-03-05,4.250000,4.280000,4.110000,4.170000,4.170000,388600
2018-03-06,4.240000,4.240000,4.000000,4.170000,4.170000,501300
2018-03-07,4.140000,4.450000,4.100000,4.430000,4.430000,744800
2018-03-08,4.430000,4.940000,4.430000,4.650000,4.650000,2145400
2018-03-09,4.780000,4.870000,4.600000,4.680000,4.680000,596600
2018-03-12,4.690000,4.750000,4.510000,4.650000,4.650000,460300
2018-03-13,4.690000,4.750000,4.380000,4.380000,4.380000,973800
2018-03-14,4.420000,4.600000,4.350000,4.560000,4.560000,338600
2018-03-15,4.620000,4.930000,4.390000,4.870000,4.870000,1101800
2018-03-16,4.880000,5.100000,4.750000,5.050000,5.050000,1766900
2018-03-19,4.930000,5.230000,4.900000,5.170000,5.170000,1049900
2018-03-20,5.100000,5.250000,5.050000,5.210000,5.210000,607500
2018-03-21,5.100000,5.800000,5.100000,5.530000,5.530000,1276800
2018-03-22,5.430000,5.650000,5.170000,5.180000,5.180000,1238200
2018-03-23,5.200000,5.440000,5.110000,5.220000,5.220000,660200
2018-03-26,5.210000,5.400000,5.100000,5.350000,5.350000,908500
2018-03-27,5.350000,5.390000,4.620000,4.690000,4.690000,1419700
2018-03-28,4.600000,4.790000,3.000000,3.960000,3.960000,6261900
2018-03-29,4.000000,4.820000,3.720000,4.760000,4.760000,3608300
2018-04-02,4.700000,4.700000,4.240000,4.390000,4.390000,1349100
2018-04-03,4.450000,4.850000,4.400000,4.620000,4.620000,1169500
2018-04-04,4.530000,4.550000,4.130000,4.500000,4.500000,899100
