;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
0;-0,09452;-0,19895;0,34443;0,0166;-0,01114;0,0728;0,05115;0,10591;0,05122;-0,05411;0,04451;0,01985;0,00266;0,04557;the
1;-0,09647;-0,17787;0,35727;0,01424;-0,01279;0,08166;0,05032;0,12351;0,05065;-0,05302;0,04145;0,0428;-0,0355;0,04908;to
2;-0,09944;-0,19219;0,34737;0,01829;-0,00099;0,07895;0,05474;0,11635;0,06339;-0,06004;0,04795;0,01573;-0,10502;0,0483;and
3;-0,08498;-0,1668;0,29682;-0,00292;-0,00672;0,06288;0,0487;0,11191;0,05241;-0,09719;0,04046;0,01001;-0,33488;0,03812;of
4;-0,12143;-0,15831;0,33795;0,00065;-0,02639;0,05049;0,02571;0,11385;0,03273;-0,05656;0,03072;0,02651;0,10076;0,03303;a
5;-0,04975;-0,19086;0,40704;0,00321;-0,0132;0,04813;0,03617;0,153;0,03963;-0,07528;0,02614;0,00172;-0,09777;0,03756;is
6;-0,10254;-0,18626;0,37386;-0,01303;-0,02066;0,06639;0,04661;0,10249;0,04613;-0,04153;0,03284;-0,01018;-0,12203;0,03571;in
7;-0,10099;-0,05869;0,45734;0,05527;0,01523;0,14162;0,16202;0,15001;0,11222;-0,07679;0,15499;-0,04346;0,05593;0,08324;rt
8;-0,07199;-0,18098;0,36182;-0,03203;-0,04478;0,06957;0,0019;0,15553;-0,01112;-0,08478;-0,00488;0,03233;0,0729;0,03665;for
9;-0,09977;-0,17412;0,43535;-0,03914;-0,03255;0,06795;0,04362;0,10167;0,04046;-0,05707;0,03626;0,01425;0,0062;0,03239;on
10;-0,05352;-0,16801;0,36069;-0,01162;-0,01904;0,09005;0,04865;0,07854;0,0369;-0,04987;0,03554;0,02311;-0,14141;0,04297;that
11;-0,13039;-0,14514;0,29559;-0,05367;-0,06477;0,04335;-0,0019;0,1256;0,0011;-0,06535;-0,00913;0,05111;0,12604;0,03027;are
12;0,01396;-0,06864;0,50393;0,05226;0,009;0,13271;0,04793;0,13805;0,02725;-0,03488;0,04672;0,00438;-0,04517;0,0785;i
13;-0,04488;-0,21958;0,38499;0,01092;-0,01296;0,08607;0,04766;0,16423;0,06277;-0,05016;0,0537;-0,00282;-0,00395;0,04888;with
14;-0,08496;-0,37968;0,38766;0,05446;0,00761;0,10764;0,06659;0,18151;0,08584;-0,05113;0,08328;0,02263;0,145;0,07565;our
15;-0,07748;-0,23245;0,40965;0,03243;-0,02729;0,10546;0,04375;0,12824;0,04322;-0,11436;0,04802;0,00504;0,10664;0,04524;will
16;-0,12074;-0,07744;0,49592;0,03864;-0,03323;0,11675;0,04183;0,15266;0,03283;-0,07888;0,02141;0,03385;0,07582;0,0534;be
17;-0,08826;-0,13958;0,28783;-0,0613;-0,03678;0,02687;0,02372;0,04851;0,04581;-0,11527;0,0268;-0,00166;-0,11916;0,00815;great
18;-0,06052;-0,34681;0,45219;-0,05947;-0,01564;0,07807;0,0259;0,1326;0,02476;-0,12369;0,02012;-0,01869;-0,07203;0,03032;it
19;-0,04033;-0,05015;0,40223;0,02707;-0,02233;0,11951;0,04524;0,17439;0,04913;-0,06479;0,04019;0,02241;0,09004;0,05418;we
20;0,01148;-0,31119;0,40623;-0,01959;-0,03248;0,04962;0,03027;0,18156;-0,02424;-0,10161;0,00817;0,02516;-0,23139;0,04195;they
21;-0,00798;-0,25701;0,51885;-0,01359;0,00513;0,1074;0,04536;0,11282;0,03551;-0,13034;0,04171;-0,00116;0,07972;0,05308;
22;-0,0769;-0,33657;0,30303;-0,07646;-0,01192;0,08283;0,03261;0,0671;0,01675;-0,0528;0,03957;0,03997;0,04906;0,02459;have
23;-0,07878;-0,06193;0,43583;-0,02181;-0,0442;0,03217;0,02753;0,06236;0,02996;-0,04082;0,03971;0,0582;-0,05506;0,00602;you
24;0,02615;-0,33372;0,38769;-0,02516;0,0014;0,05651;0,07196;0,04159;0,06833;-0,03416;0,05638;-0,05047;-0,06522;0,04013;this
25;-0,12519;-0,25164;0,46504;-0,14806;-0,04737;0,01895;0,00034;-0,01782;-0,00479;-0,16166;0,02215;-0,02019;-0,0982;0,00517;was
