;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
0;1,77448;3,7421;2,57195;1,41733;1,01998;1,1593;0,94607;2,20797;1,14678;1,60769;1,03765;1,39526;4,86486;0,65301;the
1;1,7764;3,74691;2,58328;1,41895;1,01571;1,16075;0,9492;2,20736;1,15016;1,60237;1,03861;1,37209;4,80726;0,65254;to
2;1,78723;3,72491;2,5889;1,42545;1,01449;1,17147;0,94166;2,20429;1,14068;1,61006;1,03584;1,3944;4,83046;0,65659;and
3;1,77691;3,76048;2,51962;1,42191;1,01175;1,16494;0,94447;2,21574;1,14685;1,58208;1,04069;1,39203;4,64593;0,66184;of
4;1,80554;3,72617;2,58804;1,42167;1,02476;1,14817;0,94343;2,205;1,15043;1,60462;1,0356;1,39467;4,77317;0,65075;a
5;1,78306;3,76073;2,58006;1,42746;1,005;1,15018;0,95401;2,20746;1,14711;1,60628;1,0452;1,4049;4,96228;0,65471;is
6;1,77204;3,72989;2,58023;1,41262;1,0092;1,15629;0,94529;2,19896;1,15215;1,60812;1,0402;1,38843;4,84939;0,64954;in
7;1,73685;3,63281;2,33541;1,36844;0,95065;1,10878;0,81704;2,08685;1,03688;1,5698;0,92876;1,47363;5,12381;0,60899;rt
8;1,79623;3,7538;2,57031;1,40754;1,00638;1,12618;0,9252;2,21163;1,14;1,56326;1,02928;1,39424;4,93222;0,63936;for
9;1,82025;3,73489;2,58399;1,42865;1,02542;1,16297;0,94502;2,22505;1,1506;1,55781;1,05218;1,39966;4,74042;0,6594;on
10;1,78444;3,75316;2,51418;1,47192;1,0266;1,15006;0,94765;2,2318;1,17058;1,6068;1,05561;1,42136;4,5824;0,66012;that
11;1,7775;3,81974;2,58755;1,4429;1,02826;1,16188;0,93618;2,22253;1,15813;1,67355;1,04234;1,39307;4,7888;0,66926;are
12;1,73123;3,76987;2,51588;1,40558;1,00952;1,12169;0,94919;2,21718;1,16237;1,62532;1,03758;1,40927;5,00343;0,6368;i
13;1,77861;3,78591;2,60207;1,46619;1,01381;1,17691;0,95387;2,24652;1,1639;1,56888;1,04753;1,37468;4,79166;0,67319;with
14;1,76959;3,5707;2,56698;1,424;1,02628;1,17053;0,96253;2,20603;1,16244;1,60441;1,04782;1,39737;4,64921;0,66831;our
15;1,76999;3,68182;2,49618;1,37591;1,00275;1,12808;0,93545;2,19152;1,1459;1,55766;1,02563;1,38815;4,76874;0,63401;will
16;1,75036;3,77637;2,6151;1,41831;1,01085;1,15442;0,91292;2,23256;1,13036;1,5658;1,03713;1,38512;4,89872;0,66213;be
17;1,84581;3,8289;2,59612;1,4221;1,03617;1,15412;0,97908;2,25229;1,16846;1,54932;1,05487;1,41598;4,51241;0,66925;great
18;1,74281;3,56766;2,43659;1,37869;0,979;1,12365;0,9568;2,15204;1,12736;1,63799;1,01497;1,41209;4,79425;0,62393;it
19;1,79133;3,741;2,63805;1,44292;1,05197;1,16129;0,94571;2,19971;1,18116;1,58065;1,07028;1,41615;4,69476;0,66743;we
20;1,78012;3,72966;2,47701;1,38032;0,99126;1,11584;0,93251;2,25194;1,15586;1,63708;1,0501;1,44766;4,61554;0,64853;they
21;1,72875;3,71954;2,53667;1,38658;1,02965;1,13406;0,95367;2,12882;1,13801;1,56902;1,02176;1,39481;4,81349;0,65004;
22;1,80932;3,68796;2,48523;1,40485;1,03378;1,14454;0,9549;2,20734;1,15231;1,591;1,03979;1,41487;4,92491;0,64628;have
23;1,81554;3,79166;2,58618;1,39365;1,02443;1,10463;0,93679;2,17594;1,12345;1,59785;1,0068;1,41858;4,87259;0,63675;you
24;1,75126;3,65338;2,44749;1,3585;0,99335;1,16922;0,92667;2,1447;1,14348;1,55721;1,04798;1,40982;5,19684;0,63903;this
25;1,71286;3,59265;2,55711;1,4122;0,96885;1,12747;0,933;2,13798;1,1357;1,60786;1,02724;1,36014;4,86555;0,62469;was
26;1,78391;3,77539;2,48789;1,37948;1,01315;1,09964;0,90663;2,20583;1,11486;1,58915;1,03517;1,43452;5,00952;0,63035;amp
27;1,81585;3,66395;2,66943;1,39144;1,00107;1,14315;0,94635;2,15984;1,13183;1,60805;1,07189;1,39796;4,70922;0,64528;has
28;1,75672;3,5174;2,51086;1,38718;1,01683;1,07879;0,89143;2,15915;1,12249;1,56167;1,00765;1,38836;4,83446;0,61811;president
29;1,83086;3,63647;2,57547;1,43483;1,01545;1,15973;0,9381;2,22559;1,12926;1,56216;1,04088;1,38954;5,02479;0,65172;at
