Month,Day,Year,AAL,ACB,AMD,BA,GD,GOOG,LMT,MU,NOC,NRT,RTN,USO,ZN,^GSPC
1.0,10.0,2018.0,53.779999,10.64,11.96,320.26001,204.75,1102.609985,331.049988,43.310001,307.609985,8.66,193.479996,12.68,2.26,2748.22998
1.0,11.0,2018.0,56.419998,9.75,12.14,328.119995,205.509995,1105.52002,331.130005,42.82,309.549988,8.9,193.350006,12.7,2.29,2767.560059
1.0,12.0,2018.0,58.470001,8.3,12.02,336.209991,210.589996,1122.26001,336.25,42.810001,315.149994,9.03,197.460007,12.87,2.3,2786.23999
1.0,16.0,2018.0,57.98,9.62,11.91,335.160004,206.330002,1121.76001,330.109985,42.919998,312.540009,8.91,195.729996,12.76,2.2,2776.419922
1.0,17.0,2018.0,58.16,9.92,12.18,351.01001,208.520004,1131.97998,334.859985,44.259997999999996,317.51001,8.91,196.990005,12.78,2.15,2802.560059
1.0,18.0,2018.0,58.34,10.468,12.47,340.160004,207.800003,1129.790039,333.0,43.990002000000004,314.299988,8.87,195.710007,12.76,2.17,2798.030029
1.0,19.0,2018.0,58.060001,10.77,12.59,337.730011,209.100006,1137.51001,332.0,42.75,316.369995,8.93,196.679993,12.72,2.21,2810.300049
1.0,22.0,2018.0,58.099998,11.65,12.65,338.0,208.199997,1155.810059,329.0,42.880001,315.140015,8.89,196.369995,12.78,2.18,2832.969971
1.0,23.0,2018.0,58.290001,11.939,12.94,335.589996,207.479996,1169.969971,328.700012,43.950001,313.480011,8.84,196.229996,12.97,2.21,2839.1298829999996
1.0,24.0,2018.0,54.790001,11.351,12.71,334.690002,219.270004,1164.23999,330.48999,43.080002,313.459991,8.66,198.089996,13.22,2.17,2837.540039
1.0,25.0,2018.0,53.049999,10.64,12.41,343.109985,226.52999900000003,1170.369995,334.720001,43.009997999999996,325.0,8.57,202.839996,13.06,2.17,2839.25
1.0,26.0,2018.0,53.07,10.81,12.95,343.22000099999997,226.240005,1175.839966,344.899994,43.669998,335.559998,8.6,208.910004,13.24,2.28,2872.8701170000004
